Date,Stock Symbol,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-04-12,twtr,70.87000274658203,71.83999633789062,69.6500015258789,70.86000061035156,9495200,0,0
2021-04-13,twtr,71.72000122070312,72.77999877929688,70.7300033569336,72.44999694824219,9991700,0,0
2021-04-14,twtr,72.51000213623047,73.22000122070312,69.5,69.73999786376953,12931200,0,0
2021-04-15,twtr,70.55000305175781,71.87999725341797,70.16999816894531,71.70999908447266,11108300,0,0
2021-04-16,twtr,71.97000122070312,72.19999694824219,69.68000030517578,70.12000274658203,9429900,0,0
2021-04-19,twtr,69.62000274658203,69.91999816894531,66.7699966430664,67.94000244140625,18198600,0,0
2021-04-20,twtr,68.01000213623047,68.0999984741211,65.22000122070312,65.69999694824219,14171200,0,0
2021-04-21,twtr,65.7300033569336,67.36000061035156,64.69999694824219,67.33000183105469,11817300,0,0
2021-04-22,twtr,67.41999816894531,67.5,64.08000183105469,64.30999755859375,16804100,0,0
2021-04-23,twtr,65.72000122070312,67.12999725341797,65.43000030517578,67.0199966430664,12407700,0,0
2021-04-26,twtr,66.48999786376953,67.25,65.8499984741211,66.72000122070312,11769800,0,0
2021-04-27,twtr,67.13999938964844,68.36000061035156,66.0,66.01000213623047,10827000,0,0
2021-04-28,twtr,65.55000305175781,66.55999755859375,63.7400016784668,65.69999694824219,13340300,0,0
2021-04-29,twtr,67.01000213623047,67.05000305175781,63.9900016784668,65.08999633789062,31017700,0,0
2021-04-30,twtr,56.0,57.630001068115234,55.04999923706055,55.220001220703125,88378800,0,0
2021-05-03,twtr,55.52000045776367,55.54999923706055,52.66999816894531,54.58000183105469,79649000,0,0
2021-05-04,twtr,55.06999969482422,55.720001220703125,53.15999984741211,54.400001525878906,30404500,0,0
2021-05-05,twtr,54.95000076293945,54.970001220703125,53.31999969482422,53.560001373291016,19111100,0,0
2021-05-06,twtr,53.47999954223633,53.84000015258789,52.34000015258789,53.810001373291016,19586900,0,0
2021-05-07,twtr,54.77000045776367,54.91999816894531,53.369998931884766,53.790000915527344,21748600,0,0
2021-05-10,twtr,53.0099983215332,53.08000183105469,51.619998931884766,51.810001373291016,17362300,0,0
2021-05-11,twtr,49.52000045776367,53.189998626708984,49.20000076293945,52.880001068115234,16749900,0,0
2021-05-12,twtr,51.869998931884766,52.380001068115234,50.060001373291016,50.70000076293945,17223200,0,0
2021-05-13,twtr,51.68000030517578,51.77000045776367,49.119998931884766,50.11000061035156,14303900,0,0
2021-05-14,twtr,50.61000061035156,51.91999816894531,50.189998626708984,51.72999954223633,9836800,0,0
2021-05-17,twtr,52.22999954223633,52.72999954223633,51.279998779296875,52.599998474121094,21351700,0,0
2021-05-18,twtr,52.599998474121094,55.150001525878906,52.41999816894531,53.189998626708984,23612300,0,0
2021-05-19,twtr,52.189998626708984,53.15999984741211,51.66999816894531,52.91999816894531,21551300,0,0
2021-05-20,twtr,53.22999954223633,54.90999984741211,53.220001220703125,54.709999084472656,12612700,0,0
2021-05-21,twtr,55.0,55.0,53.939998626708984,54.45000076293945,12583400,0,0
2021-05-24,twtr,54.900001525878906,57.33000183105469,54.65999984741211,57.060001373291016,25656400,0,0
2021-05-25,twtr,57.349998474121094,57.63999938964844,56.540000915527344,57.0,13488900,0,0
2021-05-26,twtr,57.369998931884766,58.61000061035156,57.310001373291016,57.849998474121094,15984400,0,0
2021-05-27,twtr,57.63999938964844,58.29999923706055,57.029998779296875,58.08000183105469,9113900,0,0
2021-05-28,twtr,58.20000076293945,58.560001373291016,57.83000183105469,58.0,8752700,0,0
2021-06-01,twtr,58.20000076293945,58.20000076293945,56.27000045776367,57.439998626708984,13122700,0,0
2021-06-02,twtr,57.279998779296875,57.63999938964844,56.31999969482422,57.15999984741211,9472900,0,0
2021-06-03,twtr,56.959999084472656,58.66999816894531,55.83000183105469,57.0099983215332,21985700,0,0
2021-06-04,twtr,57.40999984741211,59.29999923706055,57.31999969482422,59.0,12256100,0,0
2021-06-07,twtr,58.619998931884766,59.83000183105469,57.720001220703125,59.630001068115234,10538600,0,0
2021-06-08,twtr,59.790000915527344,60.09000015258789,57.81999969482422,58.810001373291016,12772900,0,0
2021-06-09,twtr,59.59000015258789,61.04999923706055,59.40999984741211,59.709999084472656,16163600,0,0
2021-06-10,twtr,59.79999923706055,60.380001068115234,58.7400016784668,60.29999923706055,8717500,0,0
2021-06-11,twtr,59.95000076293945,60.630001068115234,59.869998931884766,60.5,6980400,0,0
2021-06-14,twtr,60.849998474121094,61.54999923706055,60.45000076293945,60.83000183105469,9316600,0,0
2021-06-15,twtr,61.09000015258789,61.31999969482422,60.189998626708984,60.22999954223633,9579900,0,0
2021-06-16,twtr,60.119998931884766,61.150001525878906,59.150001525878906,59.93000030517578,9336500,0,0
2021-06-17,twtr,59.61000061035156,61.619998931884766,59.529998779296875,60.709999084472656,10201300,0,0
2021-06-18,twtr,60.20000076293945,60.970001220703125,59.529998779296875,60.849998474121094,13273000,0,0
2021-06-21,twtr,60.849998474121094,62.09000015258789,59.7400016784668,61.959999084472656,12027100,0,0
2021-06-22,twtr,61.91999816894531,64.05000305175781,61.90999984741211,63.779998779296875,16686200,0,0
2021-06-23,twtr,63.90999984741211,66.7699966430664,63.790000915527344,66.48999786376953,18548000,0,0
2021-06-24,twtr,66.75,68.73999786376953,66.75,68.25,23144800,0,0
2021-06-25,twtr,68.29000091552734,68.91999816894531,67.27999877929688,67.93000030517578,13896900,0,0
2021-06-28,twtr,68.16000366210938,68.62999725341797,67.08000183105469,68.29000091552734,11176100,0,0
2021-06-29,twtr,68.27999877929688,69.37999725341797,67.93000030517578,69.0,9526400,0,0
2021-06-30,twtr,68.76000213623047,69.12000274658203,68.25,68.80999755859375,9752900,0,0
2021-07-01,twtr,68.56999969482422,70.0,67.37000274658203,68.11000061035156,9978800,0,0
2021-07-02,twtr,68.70999908447266,69.29000091552734,68.43000030517578,69.19999694824219,8095600,0,0
2021-07-06,twtr,69.3499984741211,70.93000030517578,69.2300033569336,70.20999908447266,12317400,0,0
2021-07-07,twtr,70.62999725341797,70.8499984741211,68.70999908447266,68.76000213623047,10609300,0,0
2021-07-08,twtr,67.0,67.61000061035156,66.23999786376953,66.83000183105469,12782500,0,0
2021-07-09,twtr,67.06999969482422,69.01000213623047,66.9800033569336,68.97000122070312,14393700,0,0
2021-07-12,twtr,69.45999908447266,70.44000244140625,68.80000305175781,69.86000061035156,9223600,0,0
2021-07-13,twtr,69.54000091552734,70.87000274658203,69.26000213623047,69.5999984741211,9992700,0,0
2021-07-14,twtr,70.41999816894531,72.06999969482422,70.08999633789062,70.2699966430664,21555900,0,0
2021-07-15,twtr,70.0999984741211,70.16000366210938,67.41000366210938,68.06999969482422,14933800,0,0
2021-07-16,twtr,68.55999755859375,69.27999877929688,66.13999938964844,66.41000366210938,14271100,0,0
2021-07-19,twtr,65.23999786376953,66.7300033569336,64.6500015258789,66.0199966430664,15830100,0,0
2021-07-20,twtr,66.25,68.54000091552734,65.81999969482422,67.94000244140625,11583900,0,0
2021-07-21,twtr,67.58999633789062,69.7699966430664,67.55000305175781,69.54000091552734,10082900,0,0
2021-07-22,twtr,68.63999938964844,70.12999725341797,68.51000213623047,69.56999969482422,24130400,0,0
2021-07-23,twtr,72.19999694824219,73.33999633789062,69.87999725341797,71.69000244140625,44275800,0,0
2021-07-26,twtr,71.25,71.25,67.47000122070312,68.69000244140625,29185100,0,0
2021-07-27,twtr,68.31999969482422,69.4800033569336,66.86000061035156,68.33000183105469,16988300,0,0
2021-07-28,twtr,68.38999938964844,71.91999816894531,67.76000213623047,69.95999908447266,23203600,0,0
2021-07-29,twtr,69.5,71.58999633789062,69.5,70.37000274658203,11630000,0,0
2021-07-30,twtr,69.83000183105469,71.12999725341797,69.5,69.75,13220500,0,0
2021-08-02,twtr,70.2300033569336,70.44000244140625,68.66000366210938,69.12999725341797,12040800,0,0
2021-08-03,twtr,69.87000274658203,70.95999908447266,68.08000183105469,68.62999725341797,9221400,0,0
2021-08-04,twtr,68.68000030517578,69.08000183105469,67.91000366210938,68.69999694824219,7578400,0,0
2021-08-05,twtr,68.8499984741211,69.44999694824219,68.08000183105469,69.27999877929688,8634600,0,0
2021-08-06,twtr,69.30000305175781,69.80999755859375,66.87999725341797,67.37000274658203,11458100,0,0
2021-08-09,twtr,67.5,67.5199966430664,66.44999694824219,67.01000213623047,7938300,0,0
2021-08-10,twtr,67.19999694824219,67.37000274658203,65.56999969482422,65.68000030517578,8995700,0,0
2021-08-11,twtr,65.79000091552734,66.33000183105469,64.62999725341797,65.45999908447266,8630500,0,0
2021-08-12,twtr,64.80999755859375,65.27999877929688,64.05999755859375,64.94999694824219,7959300,0,0
2021-08-13,twtr,64.98999786376953,65.7699966430664,64.61000061035156,64.81999969482422,6084000,0,0
2021-08-16,twtr,64.33999633789062,64.94000244140625,62.810001373291016,63.779998779296875,11987300,0,0
2021-08-17,twtr,63.34000015258789,63.84000015258789,62.36000061035156,62.880001068115234,6950300,0,0
2021-08-18,twtr,62.849998474121094,63.310001373291016,62.06999969482422,62.119998931884766,6891000,0,0
2021-08-19,twtr,61.59000015258789,63.189998626708984,61.5,62.04999923706055,8508100,0,0
2021-08-20,twtr,62.130001068115234,63.16999816894531,61.9900016784668,62.52000045776367,8596300,0,0
2021-08-23,twtr,63.20000076293945,64.55999755859375,63.060001373291016,64.12999725341797,9962400,0,0
2021-08-24,twtr,64.83999633789062,65.05999755859375,63.91999816894531,63.97999954223633,6133900,0,0
2021-08-25,twtr,63.95000076293945,64.30999755859375,63.20000076293945,64.16999816894531,5470200,0,0
2021-08-26,twtr,63.959999084472656,64.25,62.529998779296875,62.61000061035156,6379500,0,0
2021-08-27,twtr,62.720001220703125,63.720001220703125,62.4900016784668,63.43000030517578,6332600,0,0
2021-08-30,twtr,63.70000076293945,65.05000305175781,63.45000076293945,64.69999694824219,8071900,0,0
2021-08-31,twtr,64.5199966430664,65.1500015258789,64.16000366210938,64.5,9157900,0,0
2021-09-01,twtr,64.6500015258789,66.72000122070312,64.6500015258789,65.55000305175781,15284300,0,0
2021-09-02,twtr,65.97000122070312,66.05000305175781,64.41000366210938,64.5999984741211,8589700,0,0
2021-09-03,twtr,64.43000030517578,65.08999633789062,63.849998474121094,64.66000366210938,5060100,0,0
2021-09-07,twtr,64.70999908447266,65.12999725341797,64.1500015258789,64.9800033569336,7149400,0,0
2021-09-08,twtr,64.94000244140625,65.36000061035156,62.08000183105469,62.27000045776367,11767200,0,0
2021-09-09,twtr,62.36000061035156,63.18000030517578,62.2400016784668,62.459999084472656,8168900,0,0
2021-09-10,twtr,62.95000076293945,63.369998931884766,61.470001220703125,61.560001373291016,7032100,0,0
2021-09-13,twtr,61.29999923706055,61.40999984741211,58.45000076293945,59.65999984741211,16851600,0,0
2021-09-14,twtr,60.06999969482422,60.70000076293945,59.4900016784668,60.189998626708984,8240100,0,0
2021-09-15,twtr,60.099998474121094,61.90999984741211,59.63999938964844,61.84000015258789,13074500,0,0
2021-09-16,twtr,61.529998779296875,62.61000061035156,60.93000030517578,62.290000915527344,9918700,0,0
2021-09-17,twtr,62.099998474121094,62.97999954223633,61.650001525878906,62.470001220703125,9810600,0,0
2021-09-20,twtr,61.150001525878906,61.31999969482422,59.84000015258789,60.95000076293945,12194300,0,0
2021-09-21,twtr,61.5099983215332,63.29999923706055,61.5099983215332,62.779998779296875,10400300,0,0
2021-09-22,twtr,62.04999923706055,64.62999725341797,61.2599983215332,64.25,13052300,0,0
2021-09-23,twtr,64.79000091552734,66.93000030517578,64.04000091552734,66.69000244140625,15123500,0,0
2021-09-24,twtr,66.08999633789062,67.44999694824219,65.45999908447266,67.22000122070312,11035700,0,0
2021-09-27,twtr,66.61000061035156,67.08999633789062,65.22000122070312,65.37000274658203,11264900,0,0
2021-09-28,twtr,64.36000061035156,64.54000091552734,62.15999984741211,62.45000076293945,9866600,0,0
2021-09-29,twtr,62.939998626708984,63.36000061035156,60.0099983215332,60.06999969482422,9256100,0,0
2021-09-30,twtr,60.380001068115234,61.22999954223633,59.86000061035156,60.38999938964844,9372600,0,0
2021-10-01,twtr,60.810001373291016,62.13999938964844,60.560001373291016,61.97999954223633,9728400,0,0
2021-10-04,twtr,61.040000915527344,61.15999984741211,57.63999938964844,58.38999938964844,17381300,0,0
2021-10-05,twtr,59.209999084472656,60.66999816894531,58.81999969482422,59.86000061035156,12006500,0,0
2021-10-06,twtr,58.95000076293945,61.709999084472656,58.790000915527344,61.290000915527344,10648100,0,0
2021-10-07,twtr,62.20000076293945,64.36000061035156,62.150001525878906,63.970001220703125,15010400,0,0
2021-10-08,twtr,64.25,64.33999633789062,63.310001373291016,63.68000030517578,8098800,0,0
2021-10-11,twtr,62.9900016784668,63.5099983215332,62.06999969482422,62.099998474121094,9020400,0,0
2021-10-12,twtr,61.68000030517578,62.79999923706055,60.790000915527344,61.45000076293945,9952100,0,0
2021-10-13,twtr,61.959999084472656,62.7400016784668,61.5099983215332,62.20000076293945,9423500,0,0
2021-10-14,twtr,63.0099983215332,63.779998779296875,62.75,63.16999816894531,6807900,0,0
2021-10-15,twtr,63.2400016784668,63.43000030517578,62.290000915527344,62.77000045776367,6693600,0,0
2021-10-18,twtr,62.689998626708984,65.06999969482422,62.66999816894531,64.83999633789062,10359500,0,0
2021-10-19,twtr,65.13999938964844,67.36000061035156,64.30000305175781,66.11000061035156,11486900,0,0
2021-10-20,twtr,66.36000061035156,68.41000366210938,65.54000091552734,65.80000305175781,15938400,0,0
2021-10-21,twtr,65.66999816894531,65.9800033569336,64.7300033569336,65.4000015258789,10918500,0,0
2021-10-22,twtr,63.810001373291016,64.47000122070312,62.09000015258789,62.2400016784668,17636400,0,0
2021-10-25,twtr,61.52000045776367,62.66999816894531,60.45000076293945,62.11000061035156,15874500,0,0
2021-10-26,twtr,62.65999984741211,63.08000183105469,60.939998626708984,61.43000030517578,22676100,0,0
2021-10-27,twtr,60.04999923706055,60.15999984741211,54.790000915527344,54.810001373291016,48107700,0,0
2021-10-28,twtr,55.08000183105469,55.63999938964844,53.88999938964844,54.290000915527344,22508400,0,0
2021-10-29,twtr,54.0099983215332,54.47999954223633,53.150001525878906,53.540000915527344,14832400,0,0
2021-11-01,twtr,53.560001373291016,55.33000183105469,53.40999984741211,55.11000061035156,14747000,0,0
2021-11-02,twtr,55.040000915527344,55.08000183105469,53.779998779296875,53.9900016784668,11571400,0,0
2021-11-03,twtr,53.68000030517578,54.54999923706055,53.099998474121094,54.529998779296875,9774200,0,0
2021-11-04,twtr,54.58000183105469,54.84000015258789,53.18000030517578,53.68000030517578,11284700,0,0
2021-11-05,twtr,54.11000061035156,54.18000030517578,52.810001373291016,53.150001525878906,13273800,0,0
2021-11-08,twtr,53.45000076293945,54.31999969482422,53.15999984741211,54.08000183105469,10565500,0,0
2021-11-09,twtr,54.11000061035156,54.93000030517578,53.15999984741211,53.70000076293945,11230100,0,0
2021-11-10,twtr,53.25,53.97999954223633,51.75,52.33000183105469,18858400,0,0
2021-11-11,twtr,52.59000015258789,52.84000015258789,51.84000015258789,51.97999954223633,13972100,0,0
2021-11-12,twtr,52.29999923706055,52.810001373291016,51.91999816894531,52.25,13287600,0,0
2021-11-15,twtr,52.40999984741211,53.90999984741211,52.40999984741211,52.95000076293945,21965600,0,0
2021-11-16,twtr,52.86000061035156,53.0,51.880001068115234,52.11000061035156,10743600,0,0
2021-11-17,twtr,52.029998779296875,52.13999938964844,50.58000183105469,50.61000061035156,16968800,0,0
2021-11-18,twtr,50.650001525878906,50.83000183105469,48.459999084472656,48.599998474121094,22373500,0,0
2021-11-19,twtr,49.119998931884766,50.369998931884766,48.400001525878906,48.400001525878906,26162400,0,0
2021-11-22,twtr,48.5099983215332,48.54999923706055,46.52000045776367,47.310001373291016,26620100,0,0
