Date,Company,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-04-12,Apple,131.73702035881914,132.06507240028088,129.8581878803628,130.46458435058594,91420000,0.0,0
2021-04-13,Apple,131.65749434639488,133.8643789188489,131.1504979208694,133.63572692871094,91266500,0.0,0
2021-04-14,Apple,134.14274973944492,134.20239282038315,130.88212985329992,131.24993896484375,87222800,0.0,0
2021-04-15,Apple,133.02933206648106,134.20235275779072,132.85038770844844,133.70530700683594,89347100,0.0,0
2021-04-16,Apple,133.50651231285838,133.87432137128002,132.4925345774447,133.36734008789062,84922400,0.0,0
2021-04-19,Apple,132.72116082728016,134.66958699008998,132.55216707962646,134.04330444335938,94264200,0.0,0
2021-04-20,Apple,134.2222661589261,134.7292474673994,131.03122511399184,132.32354736328125,94812300,0.0,0
2021-04-21,Apple,131.57796360983963,132.9597503147768,130.52422895021422,132.7112274169922,68847100,0.0,0
2021-04-22,Apple,132.2539378094379,133.3573800756604,130.6335788403722,131.1604461669922,84566500,0.0,0
2021-04-23,Apple,131.3791410872559,134.32164354047939,131.3791410872559,133.52638244628906,78657500,0.0,0
2021-04-26,Apple,134.0333771760235,134.26201400521188,132.77087655038966,133.9240264892578,66905100,0.0,0
2021-04-27,Apple,134.21229443019038,134.60994015055675,133.31761810447423,133.59596252441406,66015800,0.0,0
2021-04-28,Apple,133.51643883804735,134.2222505401531,132.29371043128535,132.79075622558594,107760100,0.0,0
2021-04-29,Apple,135.66368461990007,136.26014565946377,131.66743205954575,132.69134521484375,151101000,0.0,0
2021-04-30,Apple,131.00138999892832,132.77087183565845,130.29559345647752,130.68328857421875,109839500,0.0,0
2021-05-03,Apple,131.2598511614036,133.277871110233,131.0511004151127,131.75689697265625,75135100,0.0,0
2021-05-04,Apple,130.41487424807934,130.713104749954,125.95139768075701,127.0946044921875,137564700,0.0,0
2021-05-05,Apple,128.43663130400247,129.67924580030405,127.21390288685927,127.3431396484375,84000900,0.0,0
2021-05-06,Apple,127.13437417868894,128.98338516232778,126.37886243871509,128.97344970703125,78128300,0.0,0
2021-05-07,Apple,130.29785173044704,130.70611008501504,128.93362245638076,129.66055297851562,78973300,0.22,0
2021-05-10,Apple,128.8639071318365,128.99334821339303,126.27487277912559,126.31470489501953,88071200,0.0,0
2021-05-11,Apple,122.97885113840427,125.7371588697528,122.25192827068871,125.3786849975586,126142800,0.0,0
2021-05-12,Apple,122.87926894839973,124.11403417622368,121.73412028517293,122.25192260742188,112172300,0.0,0
2021-05-13,Apple,124.05428857476257,125.61766305173632,123.73563924178701,124.44264221191406,105861300,0.0,0
2021-05-14,Apple,125.71724488938307,127.35032373997214,125.31893130692725,126.91217803955078,81918000,0.0,0
2021-05-17,Apple,126.28484186576516,126.39437829311741,124.64180305268123,125.7371597290039,74244600,0.0,0
2021-05-18,Apple,126.02592605155601,126.45411179513697,124.25343870279741,124.3231430053711,63342900,0.0,0
2021-05-19,Apple,122.64029115165492,124.39285880613348,122.34155405746885,124.16383361816406,92612000,0.0,0
2021-05-20,Apple,124.70154921358187,127.18103961386204,124.57209293427601,126.77276611328125,76857100,0.0,0
2021-05-21,Apple,127.28061736016451,127.45985808949085,124.68163058353252,124.90070343017578,79295400,0.0,0
2021-05-24,Apple,125.47825535180559,127.40011129194035,125.40855104712502,126.56365203857422,63092900,0.0,0
2021-05-25,Apple,127.28061786343767,127.77851553326802,125.78694764554541,126.364501953125,72009500,0.0,0
2021-05-26,Apple,126.42424131442803,126.85242706378875,125.88651914565881,126.31470489501953,56575900,0.0,0
2021-05-27,Apple,125.9064437569913,127.10137689013824,124.55218215425167,124.75133514404297,94625600,0.0,0
2021-05-28,Apple,125.04010784297795,125.26914061055874,124.02441547570501,124.08415985107422,71311100,0.0,0
2021-06-01,Apple,124.55218134762396,124.82103864182098,123.41699259932622,123.75555419921875,67637100,0.0,0
2021-06-02,Apple,123.7555498163503,124.71149780226143,123.52652464740453,124.53225708007812,59278900,0.0,0
2021-06-03,Apple,124.15387318498486,124.32315399230966,122.61041086662384,123.01868438720703,76229200,0.0,0
2021-06-04,Apple,123.54644504791443,125.62762954802925,123.32737219556553,125.3587646484375,75169300,0.0,0
2021-06-07,Apple,125.63757830303888,125.7869468433154,124.30323656355428,125.36872100830078,71057600,0.0,0
2021-06-08,Apple,126.06576106937734,127.91792028869072,125.67740743221144,126.20516967773438,74403800,0.0,0
2021-06-09,Apple,126.673192983524,127.21091518049101,125.98610224342175,126.5935287475586,56877900,0.0,0
2021-06-10,Apple,126.48399106722304,127.64905961435636,125.40855428116096,125.57783508300781,71186400,0.0,0
2021-06-11,Apple,125.99605977203741,126.90222334518262,125.5678740083797,126.8125991821289,53522400,0.0,0
2021-06-14,Apple,127.28061122648512,129.98912669871524,126.53377615648215,129.92938232421875,96906500,0.0,0
2021-06-15,Apple,129.3916630814713,130.0488815659692,128.8439810110564,129.09292602539062,62746300,0.0,0
2021-06-16,Apple,129.81985715682953,130.33766710467174,127.91792856147015,129.6007843017578,91815000,0.0,0
2021-06-17,Apple,129.25226347362155,131.99065882181526,129.10288733798984,131.23385620117188,96721700,0.0,0
2021-06-18,Apple,130.15842990041477,130.95504186372258,129.69041201505183,129.90948486328125,108953300,0.0,0
2021-06-21,Apple,129.75013918579654,131.85123562833832,128.66474261449227,131.74169921875,79663300,0.0,0
2021-06-22,Apple,131.57242777189393,133.51419590287645,131.06457020305353,133.41461181640625,74783600,0.0,0
2021-06-23,Apple,133.20551512657605,133.75319724880552,132.66778533587825,133.13580322265625,60214200,0.0,0
2021-06-24,Apple,133.88265066587962,134.07185134320093,132.36906044170973,132.8470458984375,68711000,0.0,0
2021-06-25,Apple,132.89682319157666,133.32500135531293,132.24955698870224,132.5482940673828,70783700,0.0,0
2021-06-28,Apple,132.8470438842123,134.67927585735308,132.78729950162736,134.2112579345703,62111300,0.0,0
2021-06-29,Apple,134.23115740492693,135.91402816599071,133.7830594092018,135.75469970703125,64556100,0.0,0
2021-06-30,Apple,135.5953899412713,136.8301628768359,135.29665283813787,136.38206481933594,63261400,0.0,0
2021-07-01,Apple,136.0235640377569,136.75047923655237,135.18709722876693,136.69073486328125,52485800,0.0,0
2021-07-02,Apple,137.3180800999431,139.40922454589133,137.1687191514038,139.36940002441406,78852600,0.0,0
